Size,Edge Probability,Avg Time (s),Avg Flow
10,0.2,5.928675333658854e-05,12.0
20,0.2,0.00022673606872558594,37.0
50,0.2,0.0017182032267252605,85.66666666666667
100,0.2,0.01309053103129069,160.0
200,0.2,0.041987339655558266,406.0
