Size,Edge Probability,Avg Time (s),Avg Flow
10,0.4,0.00012167294820149739,23.333333333333332
20,0.4,0.0003573894500732422,57.333333333333336
50,0.4,0.00375517209370931,225.33333333333334
100,0.4,0.018644173940022785,390.6666666666667
200,0.4,0.10251768430074056,773.0
